time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-05-11T14:06:47.164Z,39.3003,-99.452,5,3,mb_lg,,74,0.534,0.73,us,us70003jt2,2019-05-13T14:04:58.897Z,"15km WNW of Plainville, Kansas",earthquake,4.2,2,0.047,120,reviewed,us,us
2019-05-11T13:40:50.150Z,19.7281,-66.0413,32,3.43,md,10,320,1.4197,0.24,pr,pr2019131010,2019-05-11T16:39:32.275Z,"139km N of San Juan, Puerto Rico",earthquake,1.67,19.1,0.06,5,reviewed,pr,pr
2019-05-11T13:32:42.518Z,-4.8738,134.2239,10,4.7,mb,,141,2.766,0.83,us,us70003jsx,2019-05-11T20:03:42.040Z,"98km N of Dobo, Indonesia",earthquake,8.4,1.8,0.158,12,reviewed,us,us
2019-05-11T10:28:59.926Z,34.9609,45.7447,10,5.3,mww,,54,0.156,0.71,us,us70003jrw,2019-05-11T10:44:38.040Z,"32km SW of Halabjah, Iraq",earthquake,8.4,1.8,0.073,18,reviewed,us,us
2019-05-11T09:59:26.980Z,38.9065,-123.149,3.47,2.67,md,59,62,0.0479,0.07,nc,nc73180210,2019-05-13T23:05:03.123Z,"16km NW of Cloverdale, CA",earthquake,0.12,0.32,0.178,43,reviewed,nc,nc
2019-05-11T09:18:14.490Z,32.4106667,-115.2126667,11.27,2.5,ml,27,106,0.07859,0.36,ci,ci38589112,2019-05-13T16:57:01.250Z,"6km NNW of Delta, B.C., MX",earthquake,0.55,1.43,0.178,35,reviewed,ci,ci
2019-05-11T07:36:36.752Z,55.3409,164.3154,39.06,4.2,mb,,126,4.058,0.56,us,us70003jqh,2019-05-11T08:03:10.040Z,"107km W of Nikol'skoye, Russia",earthquake,11.6,10.8,0.079,45,reviewed,us,us
2019-05-11T07:33:10.230Z,18.0633,-64.1358,50,2.79,md,7,351,1.7148,0.42,pr,pr2019131007,2019-05-12T04:36:54.040Z,"66km ENE of Christiansted, U.S. Virgin Islands",earthquake,10.53,18.9,0.1,5,reviewed,pr,pr
2019-05-11T05:53:25.140Z,36.6565,-121.2741667,4.72,2.74,md,57,55,0.05012,0.05,nc,nc73180160,2019-05-13T21:18:02.521Z,"15km SSE of Tres Pinos, CA",earthquake,0.1,0.48,0.173,103,reviewed,nc,nc
2019-05-11T05:35:50.310Z,18.8655,-66.8585,9,2.73,md,7,301,0.5293,0.22,pr,pr2019131006,2019-05-11T08:34:10.742Z,"42km N of Hatillo, Puerto Rico",earthquake,1.49,2.41,0,3,reviewed,pr,pr
2019-05-11T05:23:23.265Z,-30.2596,-179.95,363.71,4.5,mb,,117,7.426,0.48,us,us70003jp1,2019-05-11T05:53:23.040Z,"164km NW of L'Esperance Rock, New Zealand",earthquake,14.8,7.7,0.104,27,reviewed,us,us
2019-05-11T05:04:21.969Z,-21.7616,168.8988,10,5,mb,,93,1.59,0.81,us,us70003jnv,2019-05-11T05:23:04.040Z,"107km ESE of Tadine, New Caledonia",earthquake,8.9,1.9,0.089,40,reviewed,us,us
